36-	读图12，回答下列问题。
36--1	简述新西兰对外联系的交通运输方式及原因。
36--2	分析南岛降水量西多东少的原因。
36--3	与南岛相比，说出北岛经济发展的地理条件优势。
36--4	新西兰多火山地震，分析其成因，并概述火山旅游活动的主要内容。

38-	《国务院关于实行最严格水资源管理制度的意见》划定了水资原利用管理的“三务红线”：水资源开发利用控制红线，到2030年全国用水总量控制在7000亿立方米以内；用水效率控制红线，到2030年用水效率达到或接近世界先进水平，万元工业增加值用水量（以2000年不变价格计算）降低到40立方米以下，农田灌溉水有效利用系数提高到0.6以上；水功能区限制纳污红线，到2030年主要污染物入河湖总量控制在水功能区纳污能力范围之内，水功能区水质达标率提高到95％以上。
38--1	描述图13所反映的我国用水总量、工业废水排放总量和生活污水排放总量的变化趋势。
38--2	实现“三条红线”的控制目标需要从多方面采取措施。运用《经济生活》的相关知识完成下表。

40-	海洋是人类活动的重要舞台。
40-1	达尔文在南美洲考察期间，在①地看到热带雨林景观，在②地观察到安第斯山植被的垂直变化现象，读图14，回答第（2）题。
40-1-2	在达尔文看到的①地景观和②地现象中，任选其一说明成因。

41-	中华大地幅员辽阔，历史悠久，文化灿烂。读图15，回答第（1）小题。

41--1	在甲、乙两区域中任选其一，概述聚落分布特点和有利于农业生产的自然条件。
